"id","title","speech_title","speaker_name"
"wUpZ181ATfI","A Lens on Georgia’s Survival in the Shadow of a Superpower | Daro Sulakauri | TED","A Lens on Georgia’s Survival in the Shadow of a Superpower","Daro Sulakauri"
"DnqNS6fThuY","Your Empty Wine Bottle Could Help Rebuild Coastlines | Franziska Trautmann | TED","Your Empty Wine Bottle Could Help Rebuild Coastlines","Franziska Trautmann"
"cbtkoZUOR1A","Why Creativity Thrives on Challenges | Jon M. Chu | TED","Why Creativity Thrives on Challenges","Jon M. Chu"
"JfeRLwlnuHo","Will the End of Economic Growth Come by Design — or Disaster? | Gaya Herrington | TED","Will the End of Economic Growth Come by Design — or Disaster?","Gaya Herrington"
"x6oM9hQMjUY","How a Worm Could Save Humanity From Bad AI | Ramin Hasani | TED","How a Worm Could Save Humanity From Bad AI","Ramin Hasani"
"PnBMdJ5KeHk","The Magical, Mesmerizing Migration of Monarch Butterflies | Jaime Rojo | TED","The Magical, Mesmerizing Migration of Monarch Butterflies","Jaime Rojo"
"TiwcAjRuhoE","A Hypnotic Exploration of Movement | JA Collective | TED","A Hypnotic Exploration of Movement","JA Collective"
"WrxJKj71c9o","A Sonic Journey Through the Universe | Felipe Sánchez Luna | TED","A Sonic Journey Through the Universe","Felipe Sánchez Luna"
"jFl9kFms7nA","What Long COVID Taught Me About Life (and Data) | Giorgia Lupi | TED","What Long COVID Taught Me About Life (and Data)","Giorgia Lupi"
"Z6bxX3mcfJg","Why Don’t Vampires Cast Reflections? | Eric Nuzum | TED","Why Don’t Vampires Cast Reflections?","Eric Nuzum"
"sgHHRVH0NFo","How to Fight (and Win) an Information War | Peter Pomerantsev | TED","How to Fight (and Win) an Information War","Peter Pomerantsev"
"Y1kO-0Yo1R0","A Medical Mythbuster’s Mission to Improve Health Care | Joel Bervell | TED","A Medical Mythbuster’s Mission to Improve Health Care","Joel Bervell"
"4R7mX6pChSA","How Regenerative Agriculture Brings Life Back to the Land | Gabe Brown | TED","How Regenerative Agriculture Brings Life Back to the Land","Gabe Brown"
"hktbamn2jX4","The Probe on a Mission To Touch the Sun | Nour E. Rawafi | TED","The Probe on a Mission To Touch the Sun","Nour E. Rawafi"
"u6m2rwNfkrU","What’s Next for Immersive Storytelling? | Mark Grimmer |  TED","What’s Next for Immersive Storytelling?","Mark Grimmer"
"V3Cav6WhwZc","The Hidden Forces Behind Your Food Choices | Sarah Lake | TED","The Hidden Forces Behind Your Food Choices","Sarah Lake"
"WicBE2Uwz0A","Everything Is Improvisation — Including This TED Talk | Reggie Watts | TED","Everything Is Improvisation — Including This TED Talk","Reggie Watts"
"1GRt0j698T4","How Quadratic Funding Could Finance Your Dreams | Kevin Owocki | TED","How Quadratic Funding Could Finance Your Dreams","Kevin Owocki"
"vNCVrtwrAWg","The Power of Personalization in the Age of AI | Mark Abraham | TED","The Power of Personalization in the Age of AI","Mark Abraham"
"RsXLT2z3X8g","The Sweet Future of Vertical Farming | Hiroki Koga | TED","The Sweet Future of Vertical Farming","Hiroki Koga"
"cYW8ntaw_v8","How To Come Together in a Meaningful Way | Priya Parker | TED","How To Come Together in a Meaningful Way","Priya Parker"
"PkGCtSkbnjQ","Can AI Preserve Your Most Precious Memories? | Pau Aleikum Garcia | TED","Can AI Preserve Your Most Precious Memories?","Pau Aleikum Garcia"
"8jkFNm8lKOs","How to Make Your Cat Happier — in 3 Minutes | Nicky Trevorrow | TED","How to Make Your Cat Happier — in 3 Minutes","Nicky Trevorrow"
"VDP27kIe7-s","A Bold Plan to Rewild the Earth — at Massive Scale | Kristine McDivitt Tompkins | TED","A Bold Plan to Rewild the Earth — at Massive Scale","Kristine McDivitt Tompkins"
"I-B_Oa6_eNU","The UN Is Speaking Up About AI — Here’s What They’re Saying | Ian Bremmer and Bilawal Sidhu | TED","The UN Is Speaking Up About AI — Here’s What They’re Saying","Ian Bremmer and Bilawal Sidhu"
"HsmOJ4Xbfp4","Capitalism Broke the Climate. Now It Can Fix It | Akshat Rathi | TED","Capitalism Broke the Climate. Now It Can Fix It","Akshat Rathi"
"jx4q82a6jHc","The Otters of Singapore — and Other Unexpected Wildlife Thriving in Cities | Philip Johns | TED","The Otters of Singapore — and Other Unexpected Wildlife Thriving in Cities","Philip Johns"
"G37VO1yeVEo","Time Traveling with AI to Connect with Lost Loved Ones | Amy Kurzweil | TED","Time Traveling with AI to Connect with Lost Loved Ones","Amy Kurzweil"
"hTnJYRMixKs","The Rise of Virtual Humans — and What They Mean for the Future | Sara Giusto | TED","The Rise of Virtual Humans — and What They Mean for the Future","Sara Giusto"
"IMC8jmEXHfk","Can Math Help Repair Democracy? | Sam Wang | TED","Can Math Help Repair Democracy?","Sam Wang"
"wLvGABoTV-s","Can Dogs Detect the Next Pandemic Before It Begins? | Glen J. Golden | TED","Can Dogs Detect the Next Pandemic Before It Begins?","Glen J. Golden"
"P_8l1WAJ2Mw","The Recipe for a Healthy Climate Starts at the Dinner Table | Anthony Myint | TED","The Recipe for a Healthy Climate Starts at the Dinner Table","Anthony Myint"
"CeUoS2T2hhc","What’s the Future of Food? A Chef + a Cardiologist Answer | @jonkung + Uma Valeti | Intersections","What’s the Future of Food? A Chef + a Cardiologist Answer","@jonkung + Uma Valeti"
"mGeGLLsiy44","How to Live a Meaningful Life | Brian S. Lowery | TED","How to Live a Meaningful Life","Brian S. Lowery"
"KNEGWrD08f8","Are Smartphones Ruining Childhood? | Jonathan Haidt | TED","Are Smartphones Ruining Childhood?","Jonathan Haidt"
"6iqXH9RPK1w","How to Turn the Tables on Food Waste | Dana Gunders | TED","How to Turn the Tables on Food Waste","Dana Gunders"
"tt0HOe7gf7I","To End Extreme Poverty, Give Cash — Not Advice | Rory Stewart | TED","To End Extreme Poverty, Give Cash — Not Advice","Rory Stewart"
"sUv353ua7E8","How to Find Laughter Anywhere | Chris Duffy | TED","How to Find Laughter Anywhere","Chris Duffy"
"MHZMQLDr-OA","A Controversial Play — and What It Taught Me About the Psychology of Climate | David Finnigan | TED","A Controversial Play — and What It Taught Me About the Psychology of Climate","David Finnigan"
"bB33OBc-U6A","How to Ask for More — and Get It | Alex Carter | TED","How to Ask for More — and Get It","Alex Carter"
"kIFOiF9Q4VM","Want to Get Ahead at Work? Risk the Awkward Moments | Henna Pryor | TED","Want to Get Ahead at Work? Risk the Awkward Moments","Henna Pryor"
"QjpaJpMd5NU","The Beautiful Paradoxes of a Multicultural Identity | Farhad Mohit | TED","The Beautiful Paradoxes of a Multicultural Identity","Farhad Mohit"
"v5OQeUwXlV4","The Case for Good Jobs — and Why They’re Good for Business Too | Zeynep Ton | TED","The Case for Good Jobs — and Why They’re Good for Business Too","Zeynep Ton"
"HYnZy2Cx7UM","How Testosterone and Culture Shape Behavior | Carole K. Hooven | TED","How Testosterone and Culture Shape Behavior","Carole K. Hooven"
"EjNV6JwlV2s","Part 2: Scott Galloway’s Viral TED Talk on How the Old Are Stealing from the Young","Scott Galloway’s Viral TED Talk on How the Old Are Stealing from the Young","Part 2"
"Hfejyq5nrvE","The Intersection of War and Climate Change | Victor Ochen | TED","The Intersection of War and Climate Change","Victor Ochen"
"c_YLAhZpfMI","The Invisible Networks Shaping Your Everyday Life | Deb Chachra | TED","The Invisible Networks Shaping Your Everyday Life","Deb Chachra"
"7GN10u6F9m0","How to Prevent — or Stop — a War | Gabrielle Rifkind | TED","How to Prevent — or Stop — a War","Gabrielle Rifkind"
